   X   ,   Y    ,   Z   
 +2.038,  +1.233,  +0.435
 +0.052,  -1.155,  +1.239
 -0.266,  -0.006,  +0.144
 +0.769,  +0.425,  +1.206
 -0.942,  +1.523,  -0.621
 -0.269,  +0.689,  -0.352
 -0.179,  +0.713,  -0.414
 -1.740,  -0.905,  +0.241
 -1.635,  +1.415,  +0.235
 +1.077,  -0.079,  -0.245
 -0.130,  -0.677,  -0.084
 +0.532,  +0.309,  -1.937
 -0.440,  -1.183,  +0.910
 -0.707,  +1.553,  -0.700
 -0.106,  -1.156,  -0.739
 -0.491,  +1.454,  -1.324
 +0.600,  +1.478,  +2.003
 -0.039,  -0.671,  -1.232
 +2.113,  -1.675,  +1.827
 +0.801,  +0.912,  +0.200
 +1.123,  -0.661,  -0.006
 -2.239,  +1.390,  +0.704
 -0.104,  +0.210,  +0.993
 -0.343,  -2.644,  -1.629
 -0.434,  +2.158,  +1.050
 +1.183,  -0.810,  -0.245
 +0.898,  +0.552,  +0.939
 +1.349,  -0.233,  -3.172
 +0.307,  -1.073,  +1.692
 +0.556,  -0.597,  -0.970
 +0.948,  +1.749,  -0.371
 -0.418,  +0.539,  -0.761
 +0.151,  +0.086,  -0.177
 -0.853,  -0.663,  +1.719
 -0.589,  +1.291,  +1.248
 -0.708,  +0.777,  +1.187
 -0.019,  -0.719,  +0.227
 +0.513,  -0.289,  -0.235
 -0.115,  +0.682,  -0.173
 -0.549,  +0.406,  +0.313
 +0.773,  -0.107,  +1.782
 -2.020,  +0.526,  -0.066
 +1.095,  +0.153,  +0.906
 -1.669,  -1.479,  -0.593
 -0.602,  +0.151,  +0.069
 +0.536,  +0.280,  -2.072
 +0.120,  +0.070,  +0.924
 -0.698,  +0.911,  +0.293
 +1.112,  -0.563,  +0.512
 -0.175,  -0.138,  -0.774
 -0.898,  -0.875,  +0.178
 +0.599,  -0.967,  +0.473
 +1.005,  +0.966,  +0.098
 -1.506,  +0.509,  -0.542
 -0.131,  +0.192,  -2.012
 +0.324,  -1.235,  -0.046
 +1.133,  +0.182,  -0.356
 +0.607,  -0.713,  -1.219
 -0.291,  +1.977,  -1.305
 +0.706,  +0.962,  -1.172
 +0.641,  -0.339,  -0.987
 +0.753,  +0.380,  -0.927
 +0.049,  -0.228,  +0.042
 -0.044,  +2.460,  +0.853
 +0.683,  +0.420,  +0.287
 +3.716,  +0.627,  -0.683
 -0.280,  +1.295,  +0.191
 +0.332,  -0.433,  +2.150
 -1.116,  +2.095,  -0.291
 +2.036,  +1.618,  +0.410
 -2.712,  -0.223,  +1.118
 +0.418,  +0.195,  -0.916
 -1.428,  +1.317,  -0.432
 +0.046,  -0.432,  +0.100
 +0.944,  -0.142,  +1.151
 +0.808,  +0.250,  -1.375
 -0.667,  +0.998,  +0.147
 +0.903,  +0.680,  -1.842
 -1.761,  +0.740,  +0.410
 -0.888,  +2.436,  +0.324
 -1.166,  -0.255,  -0.511
 -0.269,  -1.729,  +0.290
 -0.873,  -0.715,  +0.174
 +0.265,  -1.285,  +0.324
 +0.557,  -0.888,  -1.111
 -0.752,  +0.396,  +1.206
 +0.530,  +2.314,  -0.210
 +1.012,  +0.134,  -0.266
 -0.246,  -1.585,  -1.823
 +0.515,  +2.706,  -0.906
 +0.304,  +1.118,  +0.166
 -0.143,  +0.197,  -0.368
 +0.099,  +0.045,  +0.512
 -0.989,  +0.245,  -0.637
 +1.255,  +1.066,  +0.192
 -0.405,  +1.674,  +2.079
 -0.698,  -1.777,  +0.668
 +0.846,  +0.255,  +2.199
 -0.606,  -0.394,  +0.895
 -0.328,  -0.216,  -1.239
 -0.279,  +0.639,  -1.617
 +1.612,  +1.203,  -1.909
 -0.328,  +0.720,  -0.177
 -2.897,  +0.571,  -0.567
 +0.986,  -0.441,  +0.134
 +0.738,  +0.378,  +0.333
 -0.370,  -0.293,  +0.310
 +1.877,  -0.100,  +0.281
 +0.875,  +2.123,  +1.164
 +1.351,  -0.352,  +0.584
 -0.289,  +1.618,  -1.075
 -0.945,  +0.751,  +1.456
 +2.782,  +0.991,  -1.370
 +0.804,  +0.850,  +0.726
 -0.503,  -0.081,  -0.846
 -0.004,  +1.243,  +1.638
 -0.443,  +1.595,  -0.685
 -0.907,  -1.692,  +0.339
 -0.982,  -0.421,  +0.978
 +0.791,  +1.005,  +0.463
 +0.953,  -1.076,  +2.000
 -1.682,  +0.093,  -1.181
 +0.074,  +1.384,  +0.290
 -1.564,  -1.195,  -1.004
 -1.086,  +0.220,  +0.520
 -0.535,  +0.366,  +0.357
 -0.091,  -0.804,  -0.981
 -1.633,  +2.188,  +0.291
 -1.637,  -1.186,  +0.242
 -0.293,  +2.281,  +2.457
 +1.975,  -1.218,  -0.887
 -1.154,  +0.683,  -1.625
 +1.262,  +0.107,  -0.401
 +0.759,  +0.478,  -0.763
 -1.408,  -1.397,  +0.354
 -0.709,  +0.293,  -1.602
 +0.728,  -0.715,  +0.034
 +0.529,  +0.432,  -1.058
 +0.712,  -1.580,  -0.362
 +0.588,  +0.077,  +1.225
 +0.706,  -0.393,  +0.942
 -0.239,  -0.665,  -1.401
 -0.577,  +0.362,  -1.426
 +0.687,  +0.131,  -0.917
 -0.443,  +0.889,  +1.731
 -1.337,  -1.025,  +0.507
 -0.281,  -0.087,  -0.524
 -1.056,  -0.156,  +1.600
 +0.090,  -0.136,  +0.680
 +1.007,  +0.062,  -1.656
 -0.082,  +1.340,  -0.476
 +0.497,  -3.057,  +0.384
 +3.166,  +0.922,  -1.794
 +2.153,  +0.850,  -0.266
 +1.155,  +0.238,  -1.066
 +0.479,  +0.575,  +0.292
 +0.350,  +0.982,  +0.422
 -1.032,  -0.305,  +0.875
 +0.480,  -1.278,  -1.239
 -1.189,  -0.682,  -0.332
 -2.771,  -0.190,  -0.339
 -0.389,  -1.269,  +1.718
 +0.874,  +0.441,  +0.024
 +0.463,  +1.424,  +0.865
 -1.428,  +0.915,  +0.847
 +0.577,  +0.440,  -0.585
 -1.191,  +2.906,  +1.802
 +0.258,  +0.381,  +1.086
 +1.582,  -0.735,  -0.532
 +0.801,  -1.132,  -1.503
 -0.758,  +1.645,  +0.572
 +0.195,  +0.556,  -0.577
 +2.041,  -0.202,  +0.368
 +0.256,  -2.045,  -0.785
 +0.223,  -1.870,  -0.392
 -1.660,  -0.854,  +0.317
 +0.434,  -1.488,  -1.603
 +1.954,  -0.224,  -0.221
 +2.241,  +0.040,  -0.164
 +0.768,  -1.169,  -1.674
 -0.732,  -0.763,  -0.055
 +0.198,  +0.365,  +0.661
 +1.343,  -0.879,  +0.997
 +0.448,  -0.118,  -0.370
 -0.049,  +1.962,  -1.616
 +0.250,  -1.245,  +0.467
 +0.472,  +0.183,  +1.490
 +0.925,  -1.352,  -0.140
 -1.205,  -0.529,  +0.642
 +0.515,  +0.063,  -0.102
 +0.403,  -0.913,  -0.578
 -3.203,  +1.462,  +0.844
 +1.296,  +2.124,  +1.053
 +2.303,  -1.004,  +0.399
 -1.178,  -0.544,  -0.540
 -1.022,  -0.249,  +0.309
 -0.530,  +0.100,  -0.133
 -1.134,  -0.123,  +0.547
 +0.578,  +1.026,  -0.612
 +0.829,  +0.071,  +1.765
 +0.131,  -0.196,  -0.333
 -0.166,  +1.366,  -0.432
 -0.121,  -0.362,  +0.568
 -0.782,  +0.270,  -0.148
 +1.730,  +1.470,  +0.246
 -0.726,  +0.218,  -0.220
 -0.328,  +0.403,  +1.020
 -0.607,  +0.597,  +0.841
 +0.352,  +0.801,  -0.960
 +0.823,  +0.227,  -0.548
 +0.491,  +0.869,  +0.001
 -1.480,  +1.262,  -0.167
 -1.836,  +0.268,  +0.717
 -0.407,  +0.131,  +1.966
 +2.276,  -1.070,  +0.622
 +1.095,  +0.618,  +0.469
 +0.483,  +1.154,  +0.372
 +0.921,  -0.348,  -0.353
 +0.269,  -0.400,  -1.797
 +1.141,  +0.004,  +1.230
 +1.743,  +0.443,  -2.039
 -0.682,  +1.262,  +1.163
 +2.180,  +0.239,  +0.667
 -1.236,  +0.644,  -0.627
 -1.405,  -0.292,  +1.150
 +0.042,  +1.109,  -0.303
 +0.451,  -0.555,  -0.025
 -0.646,  +0.608,  -0.397
 -0.449,  +0.107,  +0.861
 -0.529,  +0.157,  -2.386
 +1.817,  +0.253,  -0.938
 +0.603,  -2.777,  -0.100
 +0.805,  -1.087,  -0.456
 +1.707,  -1.154,  -0.739
 +1.322,  -1.232,  -0.261
 +0.493,  -1.563,  -0.332
 -0.093,  +0.402,  -1.338
 +1.249,  +0.649,  -0.175
 -1.129,  -0.204,  -1.549
 -0.090,  +1.316,  +0.108
 +0.667,  -0.500,  -1.235
 -0.723,  +0.518,  -0.726
 -0.519,  -1.197,  +1.652
 -0.635,  -1.033,  -0.918
 -0.004,  -0.796,  -0.766
 -0.993,  -0.315,  +0.379
 -1.386,  -0.445,  +2.537
 +0.784,  -0.040,  -0.833
 +0.729,  +1.692,  +1.702
 +0.045,  -0.164,  +1.009
 +0.547,  -0.658,  -0.263
 +0.276,  -1.443,  -1.148
 -1.526,  -0.477,  +0.352
 +0.386,  +1.523,  +0.198
 +1.188,  -0.219,  +0.559
 +2.219,  -0.369,  -1.848
 +0.555,  -0.381,  -0.381
 -1.299,  -0.318,  -0.778
 +0.177,  -0.059,  -1.477
 +0.513,  +0.575,  -0.380
 +0.347,  +0.793,  +0.166
 -1.621,  +0.534,  -1.422
 +0.945,  +0.520,  -2.173
 +1.051,  +1.426,  -0.158
 +0.134,  +1.227,  -1.561
 +1.327,  +0.073,  +1.457
 -2.178,  -0.397,  +0.316
 -0.057,  +0.234,  -1.078
 -1.900,  +0.495,  -0.649
 -2.193,  -0.349,  -0.983
 -1.105,  -0.031,  +0.532
 -1.686,  +0.811,  -0.533
 +0.437,  -0.569,  -0.834
 +1.641,  +1.286,  -1.257
 +1.973,  +1.109,  -1.197
 -0.350,  +1.212,  -0.331
 -1.023,  +1.149,  +1.073
 +0.074,  -0.485,  +0.237
 +1.656,  +0.169,  +0.290
 -1.453,  -0.483,  -0.215
 +0.383,  -1.726,  -0.190
 +2.897,  -0.136,  -1.359
 +1.601,  -2.086,  +1.847
 -1.287,  +1.496,  +1.027
 -1.263,  +1.052,  -1.006
 -0.391,  -1.539,  -0.156
 +0.050,  +3.401,  +0.180
 -0.148,  -0.487,  -0.337
 +0.642,  -0.020,  +1.157
 +0.435,  -0.518,  -0.090
 -0.047,  -1.046,  -1.547
 -0.372,  -1.021,  +0.319
 -0.088,  +0.525,  +1.622
 +0.420,  -1.067,  -0.069
 -0.214,  -0.592,  -0.728
 +0.473,  -1.177,  -0.648
 -0.117,  +1.483,  -1.070
 +0.222,  +0.159,  +0.941
 +0.298,  +0.590,  +1.874
 +0.852,  -1.398,  -0.294
 -0.086,  +0.356,  -0.437
 -0.489,  -0.746,  +0.884
